0.4924,0.7942,0.6148,0.8643,0.5947,0.2370,0.7232,0.1965,0.8111,0.1448
0.2637,0.5333,0.4433,0.4369,0.3444,0.4369,0.9798,0.1975,0.5921,0.2637
0.1955,0.4433,0.9705,0.7547,0.4369,0.0510,0.1975,0.6335,0.1975,0.2409
0.9778,0.1955,0.4433,0.9705,0.3894,0.3759,0.8847,0.7095,0.2856,0.1349
0.9735,0.0556,0.9705,0.7547,0.5064,0.3759,0.8587,0.7095,0.2856,0.2317
0.9735,0.7717,0.3230,0.3230,0.8018,0.3527,0.5111,0.2219,0.2317,0.4030
0.5077,0.7717,0.4303,0.8993,0.3527,0.3527,0.0677,0.4566,0.8054,0.5077
0.8635,0.5687,0.8993,0.8993,0.7127,0.4958,0.0730,0.0730,0.9999,0.8246
0.2447,0.7942,0.3266,0.8565,0.1683,0.5390,0.9538,0.3952,0.9538,0.5396
0.2447,0.5675,0.5675,0.0479,0.0479,0.0479,0.3952,0.9538,0.5874,0.8111
