0.12,0.01,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.01,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
0.01,0.12,0.12,0.12,0.12,0.12,0.01,0.12,0.01,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,
0.01,0.12,0.12,0.12,0.01,0.12,0.12,0.12,0.01,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.12,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,
0.01,0.12,0.12,0.12,0.01,0.01,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.12,0.01,0.12,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.12,0.12,
0.01,0.12,0.12,0.01,0.12,0.01,0.01,0.01,0.12,0.12,0.12,0.01,0.01,0.12,0.01,0.01,0.01,0.12,0.01,0.12,0.01,0.12,0.01,0.01,0.12,0.01,0.12,0.12,0.01,0.01,
0.01,0.01,0.12,0.12,0.01,0.01,0.01,0.12,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.12,0.12,0.12,
0.01,0.01,0.12,0.12,0.01,0.12,0.01,0.01,0.12,0.12,0.12,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.12,0.12,0.12,
0.12,0.01,0.01,0.12,0.01,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.12,0.12,0.12,0.01,0.01,0.12,0.12,0.01,
0.12,0.01,0.01,0.01,0.01,0.12,0.01,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.12,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.12,0.01,0.01,
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.12,0.12,0.01,0.01,0.12,0.01,0.12,0.12,0.01,
0.01,0.01,0.01,0.12,0.01,0.12,0.01,0.12,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.12,0.01,0.01,0.12,0.12,0.12,0.12,0.12,0.01,0.12,0.01,0.01,0.01,0.01,0.01,
0.01,0.01,0.12,0.12,0.12,0.01,0.12,0.12,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
0.01,0.01,0.01,0.12,0.12,0.12,0.01,0.12,0.12,0.01,0.01,0.01,0.12,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.12,0.12,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.12,0.01,0.01,0.01,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.12,0.12,0.12,0.12,0.01,0.01,0.01,
0.01,0.01,0.01,0.12,0.01,0.12,0.01,0.01,0.12,0.01,0.12,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.12,0.01,0.01,0.01,0.01,
0.01,0.01,0.12,0.12,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.12,
0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.12,0.12,0.01,0.01,0.12,0.12,0.12,0.12,0.01,0.12,0.12,0.01,0.01,0.01,
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.12,0.01,0.01,0.12,0.12,0.12,0.01,0.12,0.01,0.01,0.01,
0.01,0.01,0.12,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.12,0.12,0.01,0.01,0.12,0.01,0.12,0.01,0.12,
