4.2000,0.0000,3.6000,7.2000,2.6000,3.4000,6.4000,3.0000,5.6000,1.0000,5.4000,2.0000,6.0000,4.6000,2.4000,3.8000,5.4000,4.4000,4.8000,5.8000,2.8000,6.2000,0.0000,2.2000,3.2000,3.0000,7.0000,3.8000,6.2000,2.4000
3.6000,1.0000,3.2000,0.6000,2.0000,7.0000,5.0000,0.6000,5.2000,8.0000,3.2000,5.4000,1.0000,6.4000,1.8000,5.2000,3.2000,4.0000,0.0000,5.8000,1.8000,6.0000,2.0000,3.4000,4.4000,4.8000,1.0000,4.2000,6.8000,3.0000
1.4000,5.8000,5.4000,3.0000,7.6000,5.0000,2.6000,5.2000,3.8000,2.6000,6.4000,2.6000,5.4000,4.8000,1.8000,4.6000,5.8000,8.0000,4.6000,3.6000,3.0000,3.2000,5.2000,4.4000,4.0000,5.8000,5.4000,7.4000,2.4000,6.4000
6.0000,2.4000,1.2000,5.0000,1.4000,2.4000,4.4000,5.6000,6.6000,2.2000,2.2000,4.8000,1.2000,3.8000,4.0000,6.4000,3.2000,5.4000,5.2000,6.0000,6.6000,2.8000,7.2000,5.8000,0.4000,5.0000,2.0000,1.4000,6.6000,2.0000
0.8000,4.4000,8.0000,5.4000,4.4000,6.8000,3.0000,1.6000,1.0000,6.0000,0.4000,3.0000,5.0000,4.8000,4.8000,3.8000,4.0000,5.6000,2.8000,4.8000,3.8000,0.0000,3.4000,4.2000,3.6000,6.4000,6.4000,4.0000,3.4000,7.0000
6.0000,2.8000,0.4000,3.6000,4.6000,5.2000,2.2000,7.2000,0.8000,5.8000,5.8000,2.0000,3.8000,5.0000,3.8000,6.8000,2.4000,3.8000,1.4000,6.6000,2.8000,3.2000,6.2000,4.4000,0.4000,4.6000,0.4000,5.2000,2.4000,4.2000
2.4000,2.4000,1.0000,5.0000,1.6000,4.4000,5.0000,6.8000,2.0000,4.0000,2.4000,7.4000,4.0000,4.0000,6.8000,4.4000,1.6000,1.4000,4.0000,2.8000,6.0000,4.2000,5.8000,5.4000,6.4000,5.0000,4.4000,2.6000,0.4000,4.8000
5.6000,6.0000,3.6000,3.4000,1.8000,0.0000,6.4000,1.2000,5.2000,7.0000,2.4000,5.2000,2.6000,0.8000,6.6000,2.2000,6.8000,0.4000,6.8000,6.2000,4.2000,6.0000,4.4000,3.4000,3.8000,5.4000,3.4000,2.0000,6.8000,7.0000
4.0000,2.8000,2.0000,4.0000,7.4000,3.6000,3.8000,3.8000,4.2000,8.0000,1.4000,3.6000,5.4000,6.0000,3.4000,2.2000,6.8000,0.6000,3.6000,5.0000,3.0000,1.0000,1.8000,0.6000,7.4000,3.4000,5.4000,5.0000,4.0000,1.0000
5.6000,8.0000,4.6000,6.6000,4.2000,4.0000,1.4000,0.0000,3.2000,4.2000,4.4000,1.0000,7.6000,1.4000,4.4000,3.4000,1.8000,3.0000,3.0000,4.4000,4.4000,4.2000,6.6000,4.2000,4.8000,5.8000,2.2000,3.0000,2.6000,1.2000
1.4000,2.8000,0.8000,2.2000,6.0000,5.2000,1.6000,4.0000,6.6000,0.8000,4.6000,5.8000,0.8000,5.8000,3.8000,4.4000,6.0000,2.4000,4.2000,5.4000,6.0000,7.4000,2.2000,7.4000,2.8000,0.0000,4.2000,6.0000,1.0000,7.0000
7.6000,2.4000,8.0000,2.6000,6.4000,5.8000,4.2000,2.0000,5.6000,4.4000,5.0000,6.4000,3.4000,5.2000,0.0000,4.4000,7.0000,5.8000,7.2000,4.4000,4.4000,7.6000,2.2000,0.4000,3.8000,5.6000,7.0000,1.8000,2.6000,5.0000
6.0000,2.8000,5.0000,4.6000,1.0000,7.0000,3.2000,4.8000,6.4000,6.0000,3.8000,0.8000,5.0000,3.6000,6.4000,3.0000,4.2000,1.6000,4.2000,3.0000,1.0000,6.2000,5.0000,5.6000,5.2000,6.0000,6.0000,3.0000,6.4000,5.2000
3.6000,6.6000,0.0000,7.2000,5.4000,0.4000,0.6000,3.4000,3.8000,6.0000,2.4000,1.6000,7.0000,2.0000,3.6000,6.0000,1.8000,4.8000,7.2000,0.0000,4.4000,2.4000,4.4000,3.8000,3.0000,0.0000,5.2000,2.2000,1.4000,5.4000
2.4000,2.0000,2.8000,1.4000,3.8000,6.8000,7.0000,4.0000,3.0000,3.2000,4.6000,5.2000,2.4000,2.2000,3.4000,4.6000,6.4000,2.4000,5.8000,1.6000,6.4000,8.0000,3.6000,3.4000,3.4000,6.2000,7.0000,0.6000,3.0000,2.4000
6.4000,6.8000,2.4000,4.4000,7.0000,2.6000,3.2000,5.8000,3.8000,2.4000,1.4000,5.8000,0.0000,2.0000,4.4000,3.0000,2.8000,5.4000,7.2000,2.8000,6.6000,5.0000,4.4000,1.8000,5.2000,4.4000,1.8000,4.4000,6.8000,4.0000
5.2000,2.6000,6.8000,5.8000,3.4000,3.2000,2.4000,1.0000,6.4000,6.4000,5.6000,4.6000,2.4000,4.4000,4.6000,6.0000,5.6000,6.0000,4.2000,1.0000,5.2000,1.8000,3.2000,3.4000,2.8000,2.4000,3.8000,3.0000,2.0000,6.6000
